name,album,acousticness,danceability,energy,liveness,loudness,tempo,valence,popularity,cluster
False God,Lover,0.736,0.739,0.32,0.111,-10.862,79.97,0.351,73,0
‘tis the damn season,evermore,0.735,0.575,0.434,0.105,-8.193,145.916,0.348,65,4
epiphany,folklore,0.731,0.175,0.267,0.0858,-13.69,94.203,0.106,64,4
"So Long, London",TTPD,0.73,0.423,0.533,0.0816,-11.388,160.218,0.248,78,4
Midnight Rain,Midnights,0.71,0.604,0.375,0.116,-11.637,137.651,0.203,76,4
Snow On The Beach (feat. Lana Del Rey),Midnights,0.701,0.663,0.321,0.107,-13.527,110.021,0.153,69,4
dorothea,evermore,0.696,0.605,0.488,0.129,-8.322,119.966,0.354,62,0
mirrorball,folklore,0.687,0.553,0.413,0.0594,-10.037,110.107,0.379,73,4
long story short,evermore,0.66,0.546,0.73,0.0972,-7.704,157.895,0.573,62,2
mad woman,folklore,0.655,0.592,0.699,0.114,-8.995,141.916,0.506,65,2
Invisible,Taylor Swift,0.637,0.612,0.394,0.147,-5.723,96.001,0.233,54,0
Clara Bow,TTPD,0.636,0.686,0.318,0.106,-11.046,104.088,0.214,67,0
This Love,1989,0.635,0.485,0.459,0.101,-8.768,71.981,0.0858,42,4
Sad Beautiful Tragic,Red,0.632,0.624,0.34,0.121,-12.411,129.987,0.261,35,4
Fresh Out The Slammer,TTPD,0.624,0.33,0.483,0.111,-9.394,87.115,0.34,69,4
The Best Day,Fearless,0.611,0.664,0.447,0.139,-8.535,126.079,0.364,40,0
Guilty as Sin?,TTPD,0.607,0.626,0.428,0.0921,-8.374,94.95,0.487,82,0
betty,folklore,0.6,0.593,0.377,0.0976,-8.761,95.939,0.502,73,0
Last Kiss,Speak Now,0.581,0.359,0.329,0.0979,-9.531,84.358,0.208,49,4
Tim McGraw,Taylor Swift,0.575,0.58,0.491,0.121,-6.462,76.009,0.425,56,0
Mastermind,Midnights,0.565,0.66,0.343,0.0922,-14.132,125.96,0.137,72,4
Down Bad,TTPD,0.56,0.541,0.366,0.0946,-10.412,159.707,0.168,82,4
august,folklore,0.538,0.532,0.623,0.0925,-9.208,89.937,0.403,84,0
cardigan,folklore,0.537,0.613,0.581,0.25,-8.588,130.033,0.551,84,2
Tied Together with a Smile,Taylor Swift,0.525,0.479,0.578,0.0841,-4.963,146.165,0.192,54,1
The Smallest Man Who Ever Lived,TTPD,0.52,0.426,0.41,0.338,-9.083,142.377,0.263,74,3
Fortnight (feat. Post Malone),TTPD,0.502,0.504,0.386,0.0961,-10.976,192.004,0.281,91,4
Lover,Lover,0.492,0.359,0.543,0.118,-7.582,68.534,0.453,86,4
the last great american dynasty,folklore,0.467,0.686,0.662,0.109,-8.505,147.922,0.706,70,2
Death By A Thousand Cuts,Lover,0.454,0.712,0.732,0.319,-6.754,94.071,0.313,72,3
"You're On Your Own, Kid",Midnights,0.447,0.696,0.39,0.125,-10.331,120.032,0.395,77,0
Mean,Speak Now,0.445,0.57,0.747,0.219,-3.978,164.004,0.808,51,5
The Alchemy,TTPD,0.422,0.64,0.421,0.103,-8.802,100.056,0.353,73,0
"no body, no crime (feat. HAIM)",evermore,0.418,0.546,0.613,0.103,-7.589,79.015,0.535,66,0
But Daddy I Love Him,TTPD,0.384,0.521,0.72,0.135,-7.684,79.943,0.438,78,0
Breathe,Fearless,0.373,0.498,0.486,0.113,-7.384,147.952,0.17,38,1
SuperStar,Fearless,0.367,0.61,0.531,0.351,-6.123,85.979,0.228,38,3
Everything Has Changed,Red,0.36,0.624,0.458,0.303,-6.755,80.017,0.436,50,3
Who’s Afraid of Little Old Me?,TTPD,0.315,0.606,0.338,0.106,-10.555,119.88,0.238,80,0
this is me trying,folklore,0.314,0.515,0.476,0.171,-9.843,135.886,0.412,73,4
Stay Stay Stay,Red,0.307,0.729,0.748,0.09,-6.67,99.981,0.928,39,5
White Horse,Fearless,0.302,0.585,0.346,0.102,-8.014,92.564,0.195,42,0
I Forgot That You Existed,Lover,0.298,0.664,0.316,0.0812,-10.345,92.875,0.541,71,0
Teardrops On My Guitar - Radio Single Remix,Taylor Swift,0.288,0.621,0.417,0.119,-6.941,99.953,0.289,63,0
Clean,1989,0.242,0.81,0.38,0.113,-7.755,103.981,0.211,42,0
I Know Places,1989,0.231,0.595,0.763,0.2,-4.991,159.959,0.507,43,1
Lavender Haze,Midnights,0.23,0.735,0.449,0.132,-10.56,97.05,0.0955,77,0
Cold As You,Taylor Swift,0.217,0.418,0.482,0.123,-5.769,175.558,0.261,55,1
Delicate,reputation,0.216,0.75,0.404,0.0911,-10.178,95.045,0.0499,81,0
Question...?,Midnights,0.206,0.654,0.51,0.249,-8.767,108.874,0.105,66,3
Look What You Made Me Do,reputation,0.204,0.766,0.709,0.126,-6.471,128.07,0.506,81,2
Innocent,Speak Now,0.202,0.553,0.604,0.125,-5.295,133.989,0.186,38,1
Begin Again,Red,0.199,0.53,0.526,0.232,-8.349,79.025,0.323,56,3
Call It What You Want,reputation,0.186,0.598,0.504,0.34,-9.874,163.954,0.252,75,3
Dear John,Speak Now,0.183,0.583,0.468,0.111,-5.378,119.375,0.126,46,1
Florida!!! (feat. Florence + The Machine),TTPD,0.178,0.533,0.573,0.309,-7.123,150.088,0.398,76,3
Picture To Burn,Taylor Swift,0.173,0.658,0.877,0.0962,-2.098,105.586,0.821,61,5
The Other Side Of The Door,Fearless,0.169,0.476,0.816,0.238,-4.279,163.847,0.469,39,1
Hey Stephen,Fearless,0.168,0.843,0.553,0.107,-7.348,115.997,0.825,43,5
Vigilante Shit,Midnights,0.166,0.872,0.267,0.123,-10.764,79.964,0.168,74,0
You Belong With Me,Fearless,0.164,0.687,0.771,0.112,-4.424,129.964,0.445,57,5
Love Story,Fearless,0.157,0.618,0.736,0.073,-3.937,118.982,0.307,56,1
My Boy Only Breaks His Favorite Toys,TTPD,0.137,0.596,0.563,0.302,-7.362,97.073,0.481,77,3
Afterglow,Lover,0.13,0.756,0.449,0.114,-8.746,111.011,0.399,74,0
You're Not Sorry,Fearless,0.13,0.459,0.459,0.113,-4.126,134.018,0.281,42,1
I Can Do It With a Broken Heart,TTPD,0.123,0.701,0.751,0.15,-8.39,129.994,0.22,88,2
So It Goes...,reputation,0.122,0.574,0.61,0.13,-7.283,74.957,0.374,69,0
Anti-Hero,Midnights,0.121,0.633,0.648,0.161,-6.645,96.888,0.49,85,2
The Archer,Lover,0.12,0.292,0.574,0.0663,-9.375,124.344,0.166,75,4
Cruel Summer,Lover,0.117,0.552,0.702,0.105,-5.707,169.994,0.564,93,2
Jump Then Fall,Fearless,0.111,0.618,0.687,0.0693,-5.737,79.991,0.82,41,5
Our Song,Taylor Swift,0.111,0.668,0.672,0.329,-4.931,89.011,0.539,64,3
Don’t Blame Me,reputation,0.106,0.615,0.534,0.0607,-6.719,135.917,0.193,85,2
Treacherous,Red,0.101,0.705,0.621,0.147,-8.086,109.993,0.395,38,5
Speak Now,Speak Now,0.101,0.708,0.601,0.0979,-3.75,118.962,0.742,50,5
Come In With The Rain,Fearless,0.0961,0.527,0.461,0.24,-6.172,143.94,0.23,39,1
Forever & Always,Fearless,0.0907,0.605,0.829,0.106,-4.993,128.012,0.514,43,5
Bad Blood,1989,0.0871,0.652,0.802,0.148,-6.114,170.157,0.295,71,2
Stay Beautiful,Taylor Swift,0.0868,0.594,0.629,0.137,-4.919,131.597,0.504,53,1
Blank Space,1989,0.085,0.752,0.678,0.13,-5.421,96.009,0.583,60,5
Red,Red,0.0773,0.602,0.896,0.091,-4.267,124.978,0.641,58,5
Haunted,Speak Now,0.0769,0.434,0.944,0.151,-2.641,162.02,0.361,47,1
The Man,Lover,0.0767,0.777,0.658,0.0901,-5.191,110.048,0.633,81,2
Fifteen,Fearless,0.0728,0.559,0.636,0.144,-4.4,95.485,0.214,40,1
Enchanted,Speak Now,0.0716,0.535,0.618,0.169,-3.913,81.975,0.228,71,3
Gorgeous,reputation,0.0713,0.8,0.535,0.213,-6.684,92.027,0.451,76,0
Wildest Dreams,1989,0.0709,0.553,0.664,0.106,-7.417,140.06,0.467,75,2
I Did Something Bad,reputation,0.0679,0.696,0.602,0.0696,-6.156,82.989,0.305,75,0
Maroon,Midnights,0.0634,0.655,0.384,0.0973,-8.29,108.058,0.0384,72,0
Karma,Midnights,0.062,0.64,0.619,0.475,-7.108,90.008,0.121,80,3
Tell Me Why,Fearless,0.0606,0.601,0.852,0.37,-3.096,100.015,0.513,40,3
Dancing With Our Hands Tied,reputation,0.0604,0.624,0.691,0.138,-6.686,160.024,0.284,72,2
Bejeweled,Midnights,0.0593,0.687,0.551,0.09,-9.202,163.994,0.443,77,2
Untouchable,Fearless,0.0583,0.419,0.454,0.0974,-6.809,200.017,0.288,43,1
Shake It Off,1989,0.0561,0.648,0.785,0.148,-5.414,160.02,0.943,53,5
...Ready For It?,reputation,0.0527,0.613,0.764,0.197,-6.509,160.015,0.417,82,2
A Place in this World,Taylor Swift,0.051,0.576,0.777,0.32,-2.881,115.028,0.428,55,3
The Tortured Poets Department,TTPD,0.0483,0.604,0.428,0.126,-8.441,110.259,0.292,75,0
